Term,Sentiment,,,
降准,Positive,,,
降息,Positive,,,
MLF超额续作,Positive,,,
逆回购放量,Positive,,,
财政刺激,Positive,,,
专项债加速,Positive,,,
减税降费,Positive,,,
扩大内需,Positive,,,
家电下乡,Positive,,,
汽车下乡,Positive,,,
政策性开发工具,Positive,,,
基建投资加速,Positive,,,
以旧换新,Positive,,,
保障房建设,Positive,,,
城中村改造,Positive,,,
新基建,Positive,,,
稳增长,Positive,,,
放宽落户,Positive,,,
定向降准,Positive,,,
定向降息,Positive,,,
PSL投放,Positive,,,
货币宽松,Positive,,,
积极财政,Positive,,,
提高赤字率,Positive,,,
出口退税上调,Positive,,,
收储,Positive,,,
国储收购,Positive,,,
抛储,Negative,,,
定向抛储,Negative,,,
加息,Negative,,,
缩表,Negative,,,
提高存准率,Negative,,,
MLF缩量续作,Negative,,,
逆回购缩量,Negative,,,
窗口指导收紧,Negative,,,
金融去杠杆,Negative,,,
地产调控,Negative,,,
三道红线,Negative,,,
货币收紧,Negative,,,
紧缩财政,Negative,,,
环保限产,Positive,,,
限产加严,Positive,,,
供给侧改革,Positive,,,
产能出清,Positive,,,
淘汰落后产能,Positive,,,
安全检查,Positive,,,
检修季,Positive,,,
装置检修,Positive,,,
高炉检修,Positive,,,
矿难,Positive,,,
罢工,Positive,,,
极端天气,Positive,,,
干旱,Positive,,,
霜冻,Positive,,,
洪水,Positive,,,
台风,Positive,,,
飓风,Positive,,,
供应中断,Positive,,,
运输中断,Positive,,,
港口封锁,Positive,,,
产能投放,Negative,,,
新增产能,Negative,,,
新装置投产,Negative,,,
复产,Negative,,,
高炉复产,Negative,,,
供应过剩,Negative,,,
库存高企,Negative,,,
累库,Negative,,,
显性库存增加,Negative,,,
库存积压,Negative,,,
港口累库,Negative,,,
厂库累库,Negative,,,
社会库存增加,Negative,,,
库存压力,Negative,,,
库存拐点向上,Negative,,,
去库,Positive,,,
去库加速,Positive,,,
库存下降,Positive,,,
库存低位,Positive,,,
库存拐点向下,Positive,,,
厂库下降,Positive,,,
社会库存下降,Positive,,,
港口疏港,Positive,,,
开工率上升,Positive,,,
下游补库,Positive,,,
需求旺盛,Positive,,,
金九银十,Positive,,,
旺季来临,Positive,,,
订单饱满,Positive,,,
产销两旺,Positive,,,
出口向好,Positive,,,
进口替代,Positive,,,
消费刺激,Positive,,,
开工率下滑,Negative,,,
需求疲软,Negative,,,
淡季,Negative,,,
订单减少,Negative,,,
下游抵触,Negative,,,
出口受阻,Negative,,,
消费降级,Negative,,,
种植面积扩大,Negative,,,
丰产,Negative,,,
天气适宜,Negative,,,
优良率高,Negative,,,
种植面积减少,Positive,,,
歉收,Positive,,,
受灾,Positive,,,
优良率低,Positive,,,
升水,Positive,,,
现货升水,Positive,,,
Back,Positive,,,
Backwardation,Positive,,,
近月升水,Positive,,,
月差走强,Positive,,,
正套离场,Positive,,,
贴水,Negative,,,
现货贴水,Negative,,,
Contango,Negative,,,
近月贴水,Negative,,,
月差走弱,Negative,,,
反套离场,Negative,,,
逼仓,Positive,,,
多逼空,Positive,,,
软逼仓,Positive,,,
强平,Positive,,,
挤仓,Positive,,,
交割违约,Negative,,,
穿仓,Negative,,,
流动性枯竭,Negative,,,
仓单暴增,Negative,,,
仓单积压,Negative,,,
仓单集中注销,Positive,,,
可交割货源不足,Positive,,,
进口倒挂,Positive,,,
进口亏损,Positive,,,
出口窗口打开,Positive,,,
出口利润,Positive,,,
进口顺挂,Negative,,,
进口盈利,Negative,,,
出口窗口关闭,Negative,,,
出口亏损,Negative,,,
美联储降息,Positive,,,
美联储扩表,Positive,,,
鸽派发言,Positive,,,
地缘冲突升级,Positive,,,
CRB指数上涨,Positive,,,
BDI指数上涨,Positive,,,
美元指数下跌,Positive,,,
海外需求复苏,Positive,,,
人民币升值,Negative,,,
美联储加息,Negative,,,
美联储缩表,Negative,,,
鹰派发言,Negative,,,
地缘冲突缓和,Negative,,,
CRB指数下跌,Negative,,,
BDI指数下跌,Negative,,,
美元指数上涨,Negative,,,
海外需求衰退,Negative,,,
人民币贬值,Positive,,,
多头增仓,Positive,,,
多头加仓,Positive,,,
空头减仓,Positive,,,
空头平仓,Positive,,,
净多单增加,Positive,,,
多头持仓新高,Positive,,,
龙虎榜净买入,Positive,,,
资金流入,Positive,,,
多头套保,Positive,,,
买入套保,Positive,,,
异常增仓拉升,Positive,,,
空头增仓,Negative,,,
空头加仓,Negative,,,
多头减仓,Negative,,,
多头平仓,Negative,,,
净空单增加,Negative,,,
空头持仓新高,Negative,,,
龙虎榜净卖出,Negative,,,
资金流出,Negative,,,
空头套保,Negative,,,
卖出套保,Negative,,,
异常增仓下挫,Negative,,,
双碳目标,Positive,,,
能耗双控,Positive,,,
产业升级,Positive,,,
技术突破,Positive,,,
新能源发展,Positive,,,
关税上调,Positive,,,
进口配额收紧,Positive,,,
出口补贴,Positive,,,
关税下调,Negative,,,
进口配额放开,Negative,,,
出口限制,Positive,,,
铁矿石需求强劲,Positive,,,
钢厂补库,Positive,,,
成材需求旺盛,Positive,,,
焦炭提涨,Positive,,,
废钢偏紧,Positive,,,
铁水产量新高,Positive,,,
螺纹钢去库,Positive,,,
热卷需求好,Positive,,,
铁矿石到港量下降,Positive,,,
钢厂高炉开工率高,Positive,,,
焦煤供应紧张,Positive,,,
电炉开工率高,Positive,,,
铁矿石发运量下降,Positive,,,
焦企利润改善,Positive,,,
钢坯上涨,Positive,,,
铁矿石港口库存下降,Positive,,,
钢厂盈利,Positive,,,
钢材出口增加,Positive,,,
成材库存下降,Positive,,,
铁矿石需求疲软,Negative,,,
钢厂减产,Negative,,,
成材需求走弱,Negative,,,
焦炭提降,Negative,,,
废钢宽松,Negative,,,
铁水产量新低,Negative,,,
螺纹钢累库,Negative,,,
热卷需求差,Negative,,,
铁矿石到港量增加,Negative,,,
钢厂高炉开工率低,Negative,,,
焦煤供应宽松,Negative,,,
电炉开工率低,Negative,,,
铁矿石发运量增加,Negative,,,
焦企亏损,Negative,,,
钢坯下跌,Negative,,,
铁矿石港口库存增加,Negative,,,
钢厂亏损,Negative,,,
钢材出口减少,Negative,,,
成材库存增加,Negative,,,
铜精矿TC走低,Positive,,,
精铜供应紧张,Positive,,,
冶炼厂减产,Positive,,,
LME库存下降,Positive,,,
沪铜库存下降,Positive,,,
电解铝减产,Positive,,,
铝锭去库,Positive,,,
氧化铝供应短缺,Positive,,,
锌精矿TC走低,Positive,,,
锌锭去库,Positive,,,
铅精矿紧张,Positive,,,
再生铅检修,Positive,,,
镍矿供应中断,Positive,,,
镍铁厂减产,Positive,,,
不锈钢排产增加,Positive,,,
锡矿停产,Positive,,,
铜精矿TC走高,Negative,,,
精铜供应过剩,Negative,,,
冶炼厂增产,Negative,,,
LME库存上升,Negative,,,
沪铜库存上升,Negative,,,
电解铝增产,Negative,,,
铝锭累库,Negative,,,
氧化铝过剩,Negative,,,
锌精矿TC走高,Negative,,,
锌锭累库,Negative,,,
铅精矿宽松,Negative,,,
再生铅复产,Negative,,,
镍矿供应恢复,Negative,,,
镍铁厂复产,Negative,,,
不锈钢排产减少,Negative,,,
锡矿复产,Negative,,,
OPEC+减产,Positive,,,
原油钻井数下降,Positive,,,
EIA原油库存下降,Positive,,,
成品油需求旺盛,Positive,,,
炼厂开工率高,Positive,,,
PX-N价差扩大,Positive,,,
PTA检修,Positive,,,
乙二醇去库,Positive,,,
甲醇装置检tuning,Positive,,,
聚烯烃需求向好,Positive,,,
PVC开工率低,Positive,,,
沥青需求旺季,Positive,,,
橡胶停割,Positive,,,
LPG需求旺盛,Positive,,,
纯碱检修,Positive,,,
玻璃产销好转,Positive,,,
尿素出口增加,Positive,,,
OPEC+增产,Negative,,,
原油钻井数上升,Negative,,,
EIA原油库存增加,Negative,,,
成品油需求疲软,Negative,,,
炼厂开工率低,Negative,,,
PX-N价差收窄,Negative,,,
PTA复产,Negative,,,
乙二醇累库,Negative,,,
甲醇装置重启,Negative,,,
聚烯烃需求走弱,Negative,,,
PVC开-M率高,Negative,,,
沥青需求淡季,Negative,,,
橡胶开割,Negative,,,
LPG需求疲软,Negative,,,
纯碱复产,Negative,,,
玻璃产销走弱,Negative,,,
尿素出口受限,Negative,,,
大豆到港延迟,Positive,,,
大豆压榨利润改善,Positive,,,
豆粕提货加快,Positive,,,
豆油去库,Positive,,,
玉米拍卖溢价,Positive,,,
临储玉米见底,Positive,,,
生猪存栏下降,Positive,,,
能繁母猪去化,Positive,,,
二次育肥,Positive,,,
苹果入库量低,Positive,,,
棉花收储,Positive,,,
白糖进口减少,Positive,,,
菜粕需求旺盛,Positive,,,
棕榈油减产,Positive,,,
鸡蛋存栏低,Positive,,,
大豆到港量大,Negative,,,
大豆压榨亏损,Negative,,,
豆粕胀库,Negative,,,
豆油累库,Negative,,,
玉米拍卖流拍,Negative,,,
新季玉米上市,Negative,,,
生猪存栏上升,Negative,,,
能繁母猪回升,Negative,,,
集中出栏,Negative,,,
苹果入库量高,Negative,,,
棉花抛储,Negative,,,
白糖进口增加,Negative,,,
菜粕需求疲软,Negative,,,
棕榈油增产,Negative,,,
鸡蛋存栏高,Negative,,,
牛市,Positive,,,
V型反转,Positive,,,
逼空行情,Positive,,,
千股涨停,Positive,,,
普涨行情,Positive,,,
政策底,Positive,,,
市场底,Positive,,,
降印花税,Positive,,,
汇金增持,Positive,,,
国家队护盘,Positive,,,
业绩预增,Positive,,,
业绩超预期,Positive,,,
扭亏为盈,Positive,,,
高送转,Positive,,,
股权激励,Positive,,,
并购重组,Positive,,,
资产注入,Positive,,,
股东增持,Positive,,,
股份回购,Positive,,,
北向资金流入,Positive,,,
外资抄底,Positive,,,
融资净买入,Positive,,,
爆款基金,Positive,,,
纳入MSCI,Positive,,,
纳入富时罗素,Positive,,,
中特估,Positive,,,
AI行情,Positive,,,
金叉,Positive,,,
放量上涨,Positive,,,
突破平台,Positive,,,
结构性牛市,Positive,,,
慢牛行情,Positive,,,
踏空,Positive,,,
龙头股,Positive,,,
白马股,Positive,,,
核心资产,Positive,,,
高股息,Positive,,,
员工持股,Positive,,,
熊市,Negative,,,
股灾,Negative,,,
熔断,Negative,,,
千股跌停,Negative,,,
闪崩,Negative,,,
A杀,Negative,,,
阴跌不止,Negative,,,
加强监管,Negative,,,
立案调查,Negative,,,
监管问询,Negative,,,
业绩爆雷,Negative,,,
业绩预亏,Negative,,,
商誉减值,Negative,,,
财务造假,Negative,,,
大股东减持,Negative,,,
清仓式减持,Negative,,,
限售股解禁,Negative,,,
ST,Negative,,,
退市风险,Negative,,,
强制退市,Negative,,,
北向资金流出,Negative,,,
外资出逃,Negative,,,
融资盘平仓,Negative,,,
基金赎回潮,Negative,,,
死叉,Negative,,,
M头,Negative,,,
放量下跌,Negative,,,
跌破支撑,Negative,,,
黑天鹅,Negative,,,
灰犀牛,Negative,,,
杀估值,Negative,,,
杀逻辑,Negative,,,
杀业绩,Negative,,,
违规担保,Negative,,,
资金占用,Negative,,,
暂停上市,Negative,,,
经济复苏,Positive,,,
数据向好,Positive,,,
出口强劲,Positive,,,
进口改善,Positive,,,
PMI扩张,Positive,,,
通胀温和,Positive,,,
行业景气,Positive,,,
量价齐升,Positive,,,
补库存,Positive,,,
中标,Positive,,,
赢得大单,Positive,,,
签订大合同,Positive,,,
盈利,Positive,,,
利润大增,Positive,,,
毛利率提升,Positive,,,
研发成功,Positive,,,
上市成功,Positive,,,
普涨,Positive,,,
大涨,Positive,,,
飙升,Positive,,,
新高,Positive,,,
反弹,Positive,,,
上涨,Positive,,,
走强,Positive,,,
看好,Positive,,,
强烈推荐,Positive,,,
跑赢大盘,Positive,,,
增持评级,Positive,,,
买入评级,Positive,,,
经济下行,Negative,,,
硬着陆,Negative,,,
衰退,Negative,,,
滞涨,Negative,,,
通货膨胀,Negative,,,
通缩,Negative,,,
PMI收缩,Negative,,,
外贸下滑,Negative,,,
失业率上升,Negative,,,
债务违约,Negative,,,
监管收紧,Negative,,,
反垄断调查,Negative,,,
,,,,
产能过剩,Negative,,,
价格战,Negative,,,
原材料上涨,Negative,,,
供应链中断,Negative,,,
去库存,Negative,,,
行业寒冬,Negative,,,
业绩不及预期,Negative,,,
股东减持,Negative,,,
高管离职,Negative,,,
违约,Negative,,,
暴雷,Negative,,,
流动性危机,Negative,,,
经营困难,Negative,,,
亏损,Negative,,,
现金流断裂,Negative,,,
被调查,Negative,,,
收到警示函,Negative,,,
诉讼,Negative,,,
巨额罚款,Negative,,,
增发,Negative,,,
杀跌,Negative,,,
普跌,Negative,,,
踩踏,Negative,,,
融资净卖出,Negative,,,
大跌,Negative,,,
暴跌,Negative,,,
新低,Negative,,,
回调,Negative,,,
下跌,Negative,,,
走弱,Negative,,,
看空,Negative,,,
强烈卖出,Negative,,,
